top,bottom,flicker
366_high.jpg,1331_low.jpg,0
1150_high.jpg,338_low.jpg,0
881_high.jpg,58_low.jpg,0
788_high.jpg,1079_low.jpg,2
246_high.jpg,1719_low.jpg,2
554_high.jpg,649_low.jpg,2
928_high.jpg,563_low.jpg,2
540_high.jpg,477_low.jpg,1
1350_high.jpg,1554_low.jpg,1
404_high.jpg,131_low.jpg,1
1755_high.jpg,1381_low.jpg,1
546_high.jpg,1384_low.jpg,3
296_high.jpg,1495_low.jpg,3
1545_high.jpg,1025_low.jpg,3
972_high.jpg,345_low.jpg,3
1220_high.jpg,84_medhigh.jpg,0
708_high.jpg,1358_medhigh.jpg,0
517_high.jpg,272_medhigh.jpg,0
1090_high.jpg,1305_medhigh.jpg,2
326_high.jpg,25_medhigh.jpg,2
253_high.jpg,750_medhigh.jpg,2
1227_high.jpg,642_medhigh.jpg,2
831_high.jpg,579_medhigh.jpg,1
1130_high.jpg,586_medhigh.jpg,1
407_high.jpg,603_medhigh.jpg,1
1669_high.jpg,921_medhigh.jpg,1
907_high.jpg,853_medhigh.jpg,3
260_high.jpg,342_medhigh.jpg,3
138_high.jpg,44_medhigh.jpg,3
587_high.jpg,1053_medhigh.jpg,3
870_high.jpg,413_medLow.jpg,0
1522_high.jpg,1181_medLow.jpg,0
595_high.jpg,713_medLow.jpg,0
89_high.jpg,862_medLow.jpg,2
932_high.jpg,691_medLow.jpg,2
1760_high.jpg,1169_medLow.jpg,2
1221_high.jpg,743_medLow.jpg,2
791_high.jpg,82_medLow.jpg,1
172_high.jpg,332_medLow.jpg,1
1649_high.jpg,1774_medLow.jpg,1
377_high.jpg,903_medLow.jpg,1
1324_high.jpg,1298_medLow.jpg,3
1343_high.jpg,1058_medLow.jpg,3
926_high.jpg,1725_medLow.jpg,3
302_high.jpg,564_medLow.jpg,3
87_low.jpg,1020_high.jpg,0
1143_low.jpg,261_high.jpg,0
1467_low.jpg,1542_high.jpg,0
632_low.jpg,20_high.jpg,2
1389_low.jpg,706_high.jpg,2
1049_low.jpg,1269_high.jpg,2
1279_low.jpg,173_high.jpg,2
638_low.jpg,382_high.jpg,1
1560_low.jpg,123_high.jpg,1
1595_low.jpg,1481_high.jpg,1
1474_low.jpg,86_high.jpg,1
1476_low.jpg,1612_high.jpg,3
1674_low.jpg,1142_high.jpg,3
425_low.jpg,1740_high.jpg,3
103_low.jpg,604_high.jpg,3
201_low.jpg,1252_medhigh.jpg,0
622_low.jpg,1417_medhigh.jpg,0
802_low.jpg,209_medhigh.jpg,0
175_low.jpg,738_medhigh.jpg,2
557_low.jpg,1574_medhigh.jpg,2
1070_low.jpg,1117_medhigh.jpg,2
793_low.jpg,408_medhigh.jpg,2
34_low.jpg,1242_medhigh.jpg,1
1228_low.jpg,1566_medhigh.jpg,1
363_low.jpg,733_medhigh.jpg,1
1728_low.jpg,417_medhigh.jpg,1
217_low.jpg,233_medhigh.jpg,3
1620_low.jpg,635_medhigh.jpg,3
1223_low.jpg,1325_medhigh.jpg,3
1644_low.jpg,528_medhigh.jpg,3
898_low.jpg,775_medLow.jpg,0
150_low.jpg,843_medLow.jpg,0
101_low.jpg,31_medLow.jpg,0
196_low.jpg,897_medLow.jpg,2
1359_low.jpg,337_medLow.jpg,2
1451_low.jpg,397_medLow.jpg,2
1394_low.jpg,1686_medLow.jpg,2
133_low.jpg,658_medLow.jpg,1
874_low.jpg,459_medLow.jpg,1
453_low.jpg,588_medLow.jpg,1
1462_low.jpg,423_medLow.jpg,1
339_low.jpg,1494_medLow.jpg,3
1497_low.jpg,503_medLow.jpg,3
1077_low.jpg,1661_medLow.jpg,3
1349_low.jpg,1262_medLow.jpg,3
170_medhigh.jpg,715_high.jpg,0
647_medhigh.jpg,1131_high.jpg,0
1658_medhigh.jpg,904_high.jpg,0
509_medhigh.jpg,1093_high.jpg,2
1651_medhigh.jpg,1588_high.jpg,2
1351_medhigh.jpg,534_high.jpg,2
1533_medhigh.jpg,1000_high.jpg,2
1552_medhigh.jpg,1442_high.jpg,1
1373_medhigh.jpg,742_high.jpg,1
1681_medhigh.jpg,1100_high.jpg,1
343_medhigh.jpg,1291_high.jpg,1
234_medhigh.jpg,542_high.jpg,3
1741_medhigh.jpg,1455_high.jpg,3
181_medhigh.jpg,544_high.jpg,3
1411_medhigh.jpg,669_high.jpg,3
1683_medhigh.jpg,786_low.jpg,0
1007_medhigh.jpg,665_low.jpg,0
1621_medhigh.jpg,1653_low.jpg,0
1634_medhigh.jpg,348_low.jpg,2
359_medhigh.jpg,493_low.jpg,2
126_medhigh.jpg,1353_low.jpg,2
521_medhigh.jpg,1643_low.jpg,2
140_medhigh.jpg,511_low.jpg,1
1272_medhigh.jpg,593_low.jpg,1
1735_medhigh.jpg,1541_low.jpg,1
236_medhigh.jpg,518_low.jpg,1
660_medhigh.jpg,208_low.jpg,3
591_medhigh.jpg,677_low.jpg,3
1001_medhigh.jpg,262_low.jpg,3
1429_medhigh.jpg,512_low.jpg,3
1392_medhigh.jpg,1249_medLow.jpg,0
1189_medhigh.jpg,1673_medLow.jpg,0
841_medhigh.jpg,590_medLow.jpg,0
842_medhigh.jpg,331_medLow.jpg,2
1616_medhigh.jpg,1439_medLow.jpg,2
725_medhigh.jpg,1570_medLow.jpg,2
1098_medhigh.jpg,1337_medLow.jpg,2
375_medhigh.jpg,36_medLow.jpg,1
760_medhigh.jpg,1692_medLow.jpg,1
40_medhigh.jpg,1285_medLow.jpg,1
822_medhigh.jpg,797_medLow.jpg,1
1104_medhigh.jpg,1326_medLow.jpg,3
1654_medhigh.jpg,1042_medLow.jpg,3
1047_medhigh.jpg,545_medLow.jpg,3
45_medhigh.jpg,829_medLow.jpg,3
850_medLow.jpg,1102_high.jpg,0
535_medLow.jpg,1458_high.jpg,0
1094_medLow.jpg,66_high.jpg,0
74_medLow.jpg,1758_high.jpg,2
1557_medLow.jpg,1354_high.jpg,2
