top,bottom,flicker
0083HighNoise.jpg,0099LowNoise.jpg,0
0373HighNoise.jpg,0415LowNoise.jpg,0
0799HighNoise.jpg,1173LowNoise.jpg,0
0869HighNoise.jpg,1697LowNoise.jpg,0
1280HighNoise.jpg,0157LowNoise.jpg,0
0867HighNoise.jpg,0422LowNoise.jpg,0
1675HighNoise.jpg,0104LowNoise.jpg,0
1137HighNoise.jpg,0191LowNoise.jpg,0
0105HighNoise.jpg,1510LowNoise.jpg,0
0795HighNoise.jpg,1260LowNoise.jpg,2
1629HighNoise.jpg,0501LowNoise.jpg,2
1528HighNoise.jpg,1252LowNoise.jpg,2
0023HighNoise.jpg,1387LowNoise.jpg,2
0131HighNoise.jpg,0080LowNoise.jpg,2
0344HighNoise.jpg,1083LowNoise.jpg,2
1321HighNoise.jpg,0328LowNoise.jpg,2
1053HighNoise.jpg,1235LowNoise.jpg,2
0734HighNoise.jpg,0979LowNoise.jpg,2
1524HighNoise.jpg,1341LowNoise.jpg,2
0879HighNoise.jpg,1654LowNoise.jpg,1
0694HighNoise.jpg,0844LowNoise.jpg,1
1323HighNoise.jpg,0363LowNoise.jpg,1
0135HighNoise.jpg,1118LowNoise.jpg,1
0951HighNoise.jpg,0217LowNoise.jpg,1
1075HighNoise.jpg,0978LowNoise.jpg,1
1731HighNoise.jpg,0957LowNoise.jpg,1
1129HighNoise.jpg,0219LowNoise.jpg,1
1445HighNoise.jpg,0604LowNoise.jpg,1
0949HighNoise.jpg,0944LowNoise.jpg,1
1571HighNoise.jpg,1748LowNoise.jpg,3
0925HighNoise.jpg,1740LowNoise.jpg,3
0538HighNoise.jpg,1113LowNoise.jpg,3
1267HighNoise.jpg,0736LowNoise.jpg,3
0374HighNoise.jpg,0137LowNoise.jpg,3
1624HighNoise.jpg,0241LowNoise.jpg,3
1126HighNoise.jpg,0975LowNoise.jpg,3
1396HighNoise.jpg,0071LowNoise.jpg,3
0366HighNoise.jpg,0833LowNoise.jpg,3
0740HighNoise.jpg,0787LowNoise.jpg,3
0596HighNoise.jpg,1288MedHighNoise.jpg,0
0166HighNoise.jpg,1285MedHighNoise.jpg,0
1318HighNoise.jpg,0554MedHighNoise.jpg,0
1119HighNoise.jpg,0627MedHighNoise.jpg,0
0401HighNoise.jpg,1364MedHighNoise.jpg,0
0333HighNoise.jpg,1365MedHighNoise.jpg,0
1719HighNoise.jpg,0317MedHighNoise.jpg,0
1603HighNoise.jpg,0469MedHighNoise.jpg,0
0504HighNoise.jpg,0245MedHighNoise.jpg,0
0444HighNoise.jpg,1607MedHighNoise.jpg,2
1430HighNoise.jpg,0529MedHighNoise.jpg,2
1709HighNoise.jpg,1044MedHighNoise.jpg,2
0340HighNoise.jpg,0690MedHighNoise.jpg,2
0793HighNoise.jpg,1619MedHighNoise.jpg,2
1091HighNoise.jpg,1732MedHighNoise.jpg,2
1500HighNoise.jpg,0981MedHighNoise.jpg,2
0403HighNoise.jpg,1416MedHighNoise.jpg,2
1093HighNoise.jpg,0672MedHighNoise.jpg,2
0797HighNoise.jpg,0630MedHighNoise.jpg,2
1046HighNoise.jpg,1155MedHighNoise.jpg,1
1254HighNoise.jpg,0082MedHighNoise.jpg,1
1667HighNoise.jpg,0814MedHighNoise.jpg,1
0066HighNoise.jpg,0481MedHighNoise.jpg,1
