top,bottom,cue,prompt
642_HIGH.jpg,811_LOW.jpg,3,0
345_HIGH.jpg,1349_LOW.jpg,2,1
781_HIGH.jpg,353_LOW.jpg,1,0
928_HIGH.jpg,358_LOW.jpg,0,1
66_HIGH.jpg,446_LOW.jpg,3,0
749_HIGH.jpg,769_LOW.jpg,2,1
607_HIGH.jpg,418_LOW.jpg,1,0
483_HIGH.jpg,457_LOW.jpg,0,1
1151_HIGH.jpg,125_LOW.jpg,3,0
1362_HIGH.jpg,599_LOW.jpg,2,1
134_HIGH.jpg,186_LOW.jpg,1,0
172_HIGH.jpg,1304_LOW.jpg,0,1
234_HIGH.jpg,387_LOW.jpg,3,0
987_HIGH.jpg,1124_LOW.jpg,2,1
452_HIGH.jpg,59_LOW.jpg,1,0
267_HIGH.jpg,537_LOW.jpg,0,1
1299_HIGH.jpg,100_LOW.jpg,3,0
299_HIGH.jpg,626_LOW.jpg,2,1
1149_HIGH.jpg,30_LOW.jpg,1,0
1190_HIGH.jpg,616_LOW.jpg,0,1
777_HIGH.jpg,866_LOW.jpg,3,0
634_HIGH.jpg,34_LOW.jpg,2,1
40_HIGH.jpg,1141_LOW.jpg,1,0
251_HIGH.jpg,354_LOW.jpg,0,1
375_HIGH.jpg,398_LOW.jpg,3,0
341_HIGH.jpg,750_LOW.jpg,2,1
911_HIGH.jpg,612_LOW.jpg,1,0
262_HIGH.jpg,829_LOW.jpg,0,1
1037_HIGH.jpg,250_LOW.jpg,3,0
624_HIGH.jpg,245_LOW.jpg,2,1
1260_HIGH.jpg,200_LOW.jpg,1,0
346_HIGH.jpg,395_LOW.jpg,0,1
1261_HIGH.jpg,1006_LOW.jpg,3,0
295_HIGH.jpg,21_LOW.jpg,2,1
1357_HIGH.jpg,593_LOW.jpg,1,0
719_HIGH.jpg,79_LOW.jpg,0,1
336_HIGH.jpg,356_LOW.jpg,3,0
958_HIGH.jpg,1353_LOW.jpg,2,1
711_HIGH.jpg,1403_LOW.jpg,1,0
890_HIGH.jpg,209_MEDHIGH.jpg,3,0
732_HIGH.jpg,196_MEDHIGH.jpg,2,1
202_HIGH.jpg,1342_MEDHIGH.jpg,1,0
886_HIGH.jpg,1255_MEDHIGH.jpg,0,1
89_HIGH.jpg,1237_MEDHIGH.jpg,3,0
312_HIGH.jpg,368_MEDHIGH.jpg,2,1
1281_HIGH.jpg,1042_MEDHIGH.jpg,1,0
128_HIGH.jpg,540_MEDHIGH.jpg,0,1
553_HIGH.jpg,1321_MEDHIGH.jpg,3,0
315_HIGH.jpg,1350_MEDHIGH.jpg,2,1
361_HIGH.jpg,1075_MEDHIGH.jpg,1,0
838_HIGH.jpg,54_MEDHIGH.jpg,0,1
1404_HIGH.jpg,504_MEDHIGH.jpg,3,0
109_HIGH.jpg,167_MEDHIGH.jpg,2,1
876_HIGH.jpg,466_MEDHIGH.jpg,1,0
1317_HIGH.jpg,713_MEDHIGH.jpg,0,1
676_HIGH.jpg,278_MEDHIGH.jpg,3,0
1206_HIGH.jpg,875_MEDHIGH.jpg,2,1
891_HIGH.jpg,169_MEDHIGH.jpg,1,0
728_HIGH.jpg,610_MEDHIGH.jpg,0,1
290_HIGH.jpg,902_MEDHIGH.jpg,3,0
774_HIGH.jpg,52_MEDHIGH.jpg,2,1
1331_HIGH.jpg,1390_MEDHIGH.jpg,1,0
733_HIGH.jpg,310_MEDHIGH.jpg,0,1
1301_HIGH.jpg,166_MEDHIGH.jpg,3,0
1127_HIGH.jpg,433_MEDHIGH.jpg,2,1
101_HIGH.jpg,579_MEDHIGH.jpg,1,0
211_HIGH.jpg,292_MEDHIGH.jpg,0,1
770_HIGH.jpg,648_MEDHIGH.jpg,3,0
45_HIGH.jpg,129_MEDHIGH.jpg,2,1
229_HIGH.jpg,1368_MEDHIGH.jpg,1,0
331_HIGH.jpg,1221_MEDHIGH.jpg,0,1
694_HIGH.jpg,835_MEDHIGH.jpg,3,0
119_HIGH.jpg,1089_MEDHIGH.jpg,2,1
686_HIGH.jpg,778_MEDHIGH.jpg,1,0
706_HIGH.jpg,1189_MEDHIGH.jpg,0,1
379_HIGH.jpg,547_MEDHIGH.jpg,3,0
690_HIGH.jpg,637_MEDHIGH.jpg,2,1
573_HIGH.jpg,953_MEDHIGH.jpg,1,0
1061_HIGH.jpg,1395_MEDLOW.jpg,3,0
459_HIGH.jpg,171_MEDLOW.jpg,2,1
391_HIGH.jpg,65_MEDLOW.jpg,1,0
699_HIGH.jpg,68_MEDLOW.jpg,0,1
1146_HIGH.jpg,1272_MEDLOW.jpg,3,0
320_HIGH.jpg,1251_MEDLOW.jpg,2,1
1129_HIGH.jpg,1229_MEDLOW.jpg,1,0
401_HIGH.jpg,63_MEDLOW.jpg,0,1
414_HIGH.jpg,841_MEDLOW.jpg,3,0
15_HIGH.jpg,949_MEDLOW.jpg,2,1
1126_HIGH.jpg,1077_MEDLOW.jpg,1,0
445_HIGH.jpg,270_MEDLOW.jpg,0,1
828_HIGH.jpg,545_MEDLOW.jpg,3,0
1117_HIGH.jpg,807_MEDLOW.jpg,2,1
69_HIGH.jpg,865_MEDLOW.jpg,1,0
1113_HIGH.jpg,1352_MEDLOW.jpg,0,1
462_HIGH.jpg,1112_MEDLOW.jpg,3,0
586_HIGH.jpg,198_MEDLOW.jpg,2,1
288_HIGH.jpg,1102_MEDLOW.jpg,1,0
981_HIGH.jpg,564_MEDLOW.jpg,0,1
884_HIGH.jpg,1147_MEDLOW.jpg,3,0
979_HIGH.jpg,1096_MEDLOW.jpg,2,1
325_HIGH.jpg,367_MEDLOW.jpg,1,0
574_HIGH.jpg,682_MEDLOW.jpg,0,1
324_HIGH.jpg,1279_MEDLOW.jpg,3,0
908_HIGH.jpg,678_MEDLOW.jpg,2,1
691_HIGH.jpg,71_MEDLOW.jpg,1,0
259_HIGH.jpg,1202_MEDLOW.jpg,0,1
142_HIGH.jpg,133_MEDLOW.jpg,3,0
1022_HIGH.jpg,541_MEDLOW.jpg,2,1
182_HIGH.jpg,622_MEDLOW.jpg,1,0
1309_HIGH.jpg,946_MEDLOW.jpg,0,1
1123_HIGH.jpg,1019_MEDLOW.jpg,3,0
1224_HIGH.jpg,148_MEDLOW.jpg,2,1
1002_HIGH.jpg,715_MEDLOW.jpg,1,0
170_HIGH.jpg,962_MEDLOW.jpg,0,1
173_HIGH.jpg,771_MEDLOW.jpg,3,0
1090_HIGH.jpg,528_MEDLOW.jpg,2,1
495_HIGH.jpg,1236_MEDLOW.jpg,1,0
227_LOW.jpg,795_HIGH.jpg,3,0
791_LOW.jpg,848_HIGH.jpg,2,1
844_LOW.jpg,520_HIGH.jpg,1,0
559_LOW.jpg,1067_HIGH.jpg,0,1
975_LOW.jpg,244_HIGH.jpg,3,0
1115_LOW.jpg,99_HIGH.jpg,2,1
988_LOW.jpg,269_HIGH.jpg,1,0
839_LOW.jpg,1242_HIGH.jpg,0,1
1205_LOW.jpg,1338_HIGH.jpg,3,0
1100_LOW.jpg,212_HIGH.jpg,2,1
1170_LOW.jpg,1005_HIGH.jpg,1,0
334_LOW.jpg,482_HIGH.jpg,0,1
1175_LOW.jpg,279_HIGH.jpg,3,0
484_LOW.jpg,314_HIGH.jpg,2,1
