top,bottom,cue,prompt
1247_HIGH.jpg,892_LOW.jpg,3,0
416_HIGH.jpg,459_LOW.jpg,2,1
240_HIGH.jpg,1062_LOW.jpg,1,0
368_HIGH.jpg,503_LOW.jpg,0,1
418_HIGH.jpg,591_LOW.jpg,3,0
87_HIGH.jpg,423_LOW.jpg,2,1
876_HIGH.jpg,594_LOW.jpg,1,0
458_HIGH.jpg,948_LOW.jpg,0,1
397_HIGH.jpg,143_LOW.jpg,3,0
647_HIGH.jpg,1155_LOW.jpg,2,1
1260_HIGH.jpg,195_LOW.jpg,1,0
758_HIGH.jpg,150_LOW.jpg,0,1
1292_HIGH.jpg,408_LOW.jpg,3,0
1230_HIGH.jpg,1279_LOW.jpg,2,1
886_HIGH.jpg,814_LOW.jpg,1,0
74_HIGH.jpg,867_LOW.jpg,0,1
332_HIGH.jpg,339_LOW.jpg,3,0
106_HIGH.jpg,316_LOW.jpg,2,1
385_HIGH.jpg,400_LOW.jpg,1,0
139_HIGH.jpg,928_LOW.jpg,0,1
790_HIGH.jpg,1296_LOW.jpg,3,0
1403_HIGH.jpg,1270_LOW.jpg,2,1
396_HIGH.jpg,1072_LOW.jpg,1,0
1373_HIGH.jpg,732_LOW.jpg,0,1
208_HIGH.jpg,914_LOW.jpg,3,0
1095_HIGH.jpg,760_LOW.jpg,2,1
569_HIGH.jpg,480_LOW.jpg,1,0
407_HIGH.jpg,694_LOW.jpg,0,1
520_HIGH.jpg,675_LOW.jpg,3,0
994_HIGH.jpg,1258_LOW.jpg,2,1
951_HIGH.jpg,972_LOW.jpg,1,0
495_HIGH.jpg,161_LOW.jpg,0,1
382_HIGH.jpg,486_LOW.jpg,3,0
1250_HIGH.jpg,192_LOW.jpg,2,1
1005_HIGH.jpg,271_LOW.jpg,1,0
129_HIGH.jpg,1190_LOW.jpg,0,1
1389_HIGH.jpg,30_LOW.jpg,3,0
674_HIGH.jpg,417_LOW.jpg,2,1
300_HIGH.jpg,1129_LOW.jpg,1,0
1034_HIGH.jpg,542_MEDHIGH.jpg,3,0
493_HIGH.jpg,140_MEDHIGH.jpg,2,1
1395_HIGH.jpg,1379_MEDHIGH.jpg,1,0
304_HIGH.jpg,648_MEDHIGH.jpg,0,1
75_HIGH.jpg,189_MEDHIGH.jpg,3,0
1353_HIGH.jpg,325_MEDHIGH.jpg,2,1
297_HIGH.jpg,1371_MEDHIGH.jpg,1,0
1030_HIGH.jpg,1232_MEDHIGH.jpg,0,1
1114_HIGH.jpg,1076_MEDHIGH.jpg,3,0
288_HIGH.jpg,1285_MEDHIGH.jpg,2,1
584_HIGH.jpg,1156_MEDHIGH.jpg,1,0
281_HIGH.jpg,927_MEDHIGH.jpg,0,1
415_HIGH.jpg,266_MEDHIGH.jpg,3,0
1151_HIGH.jpg,952_MEDHIGH.jpg,2,1
786_HIGH.jpg,965_MEDHIGH.jpg,1,0
295_HIGH.jpg,893_MEDHIGH.jpg,0,1
1363_HIGH.jpg,1264_MEDHIGH.jpg,3,0
1196_HIGH.jpg,1158_MEDHIGH.jpg,2,1
59_HIGH.jpg,375_MEDHIGH.jpg,1,0
256_HIGH.jpg,392_MEDHIGH.jpg,0,1
273_HIGH.jpg,52_MEDHIGH.jpg,3,0
312_HIGH.jpg,276_MEDHIGH.jpg,2,1
703_HIGH.jpg,895_MEDHIGH.jpg,1,0
742_HIGH.jpg,901_MEDHIGH.jpg,0,1
975_HIGH.jpg,1018_MEDHIGH.jpg,3,0
1002_HIGH.jpg,482_MEDHIGH.jpg,2,1
1181_HIGH.jpg,1394_MEDHIGH.jpg,1,0
1266_HIGH.jpg,1312_MEDHIGH.jpg,0,1
574_HIGH.jpg,1056_MEDHIGH.jpg,3,0
1130_HIGH.jpg,564_MEDHIGH.jpg,2,1
1328_HIGH.jpg,243_MEDHIGH.jpg,1,0
736_HIGH.jpg,487_MEDHIGH.jpg,0,1
890_HIGH.jpg,197_MEDHIGH.jpg,3,0
771_HIGH.jpg,141_MEDHIGH.jpg,2,1
942_HIGH.jpg,85_MEDHIGH.jpg,1,0
652_HIGH.jpg,1173_MEDHIGH.jpg,0,1
204_HIGH.jpg,866_MEDHIGH.jpg,3,0
800_HIGH.jpg,943_MEDHIGH.jpg,2,1
844_HIGH.jpg,1012_MEDHIGH.jpg,1,0
448_HIGH.jpg,149_MEDLOW.jpg,3,0
123_HIGH.jpg,105_MEDLOW.jpg,2,1
528_HIGH.jpg,475_MEDLOW.jpg,1,0
1242_HIGH.jpg,1275_MEDLOW.jpg,0,1
55_HIGH.jpg,498_MEDLOW.jpg,3,0
604_HIGH.jpg,799_MEDLOW.jpg,2,1
311_HIGH.jpg,144_MEDLOW.jpg,1,0
684_HIGH.jpg,1348_MEDLOW.jpg,0,1
117_HIGH.jpg,714_MEDLOW.jpg,3,0
104_HIGH.jpg,1176_MEDLOW.jpg,2,1
929_HIGH.jpg,82_MEDLOW.jpg,1,0
586_HIGH.jpg,615_MEDLOW.jpg,0,1
219_HIGH.jpg,743_MEDLOW.jpg,3,0
1184_HIGH.jpg,1080_MEDLOW.jpg,2,1
746_HIGH.jpg,617_MEDLOW.jpg,1,0
772_HIGH.jpg,1085_MEDLOW.jpg,0,1
600_HIGH.jpg,1319_MEDLOW.jpg,3,0
1157_HIGH.jpg,379_MEDLOW.jpg,2,1
4_HIGH.jpg,436_MEDLOW.jpg,1,0
198_HIGH.jpg,813_MEDLOW.jpg,0,1
656_HIGH.jpg,557_MEDLOW.jpg,3,0
238_HIGH.jpg,707_MEDLOW.jpg,2,1
1170_HIGH.jpg,278_MEDLOW.jpg,1,0
49_HIGH.jpg,446_MEDLOW.jpg,0,1
924_HIGH.jpg,128_MEDLOW.jpg,3,0
92_HIGH.jpg,1318_MEDLOW.jpg,2,1
501_HIGH.jpg,515_MEDLOW.jpg,1,0
353_HIGH.jpg,1093_MEDLOW.jpg,0,1
1065_HIGH.jpg,39_MEDLOW.jpg,3,0
1290_HIGH.jpg,1374_MEDLOW.jpg,2,1
380_HIGH.jpg,538_MEDLOW.jpg,1,0
1028_HIGH.jpg,454_MEDLOW.jpg,0,1
483_HIGH.jpg,502_MEDLOW.jpg,3,0
589_HIGH.jpg,577_MEDLOW.jpg,2,1
336_HIGH.jpg,1032_MEDLOW.jpg,1,0
214_HIGH.jpg,567_MEDLOW.jpg,0,1
461_HIGH.jpg,1291_MEDLOW.jpg,3,0
807_HIGH.jpg,1402_MEDLOW.jpg,2,1
16_HIGH.jpg,537_MEDLOW.jpg,1,0
861_LOW.jpg,961_HIGH.jpg,3,0
187_LOW.jpg,748_HIGH.jpg,2,1
343_LOW.jpg,568_HIGH.jpg,1,0
268_LOW.jpg,551_HIGH.jpg,0,1
159_LOW.jpg,808_HIGH.jpg,3,0
282_LOW.jpg,138_HIGH.jpg,2,1
248_LOW.jpg,457_HIGH.jpg,1,0
834_LOW.jpg,946_HIGH.jpg,0,1
222_LOW.jpg,1392_HIGH.jpg,3,0
113_LOW.jpg,1047_HIGH.jpg,2,1
1370_LOW.jpg,624_HIGH.jpg,1,0
303_LOW.jpg,1240_HIGH.jpg,0,1
277_LOW.jpg,1304_HIGH.jpg,3,0
1167_LOW.jpg,1332_HIGH.jpg,2,1
641_LOW.jpg,640_HIGH.jpg,1,0
20_LOW.jpg,1249_HIGH.jpg,0,1
1040_LOW.jpg,923_HIGH.jpg,3,0
1172_LOW.jpg,678_HIGH.jpg,2,1
262_LOW.jpg,1399_HIGH.jpg,1,0
665_LOW.jpg,355_HIGH.jpg,0,1
137_LOW.jpg,679_HIGH.jpg,3,0
1222_LOW.jpg,181_HIGH.jpg,2,1
1387_LOW.jpg,1272_HIGH.jpg,1,0
70_LOW.jpg,492_HIGH.jpg,0,1
987_LOW.jpg,125_HIGH.jpg,3,0
728_LOW.jpg,773_HIGH.jpg,2,1
13_LOW.jpg,112_HIGH.jpg,1,0
823_LOW.jpg,424_HIGH.jpg,0,1
974_LOW.jpg,111_HIGH.jpg,3,0
1210_LOW.jpg,1302_HIGH.jpg,2,1
981_LOW.jpg,1066_HIGH.jpg,1,0
485_LOW.jpg,831_HIGH.jpg,0,1
620_LOW.jpg,863_HIGH.jpg,3,0
130_LOW.jpg,659_HIGH.jpg,2,1
369_LOW.jpg,915_HIGH.jpg,1,0
247_LOW.jpg,387_HIGH.jpg,0,1
1248_LOW.jpg,1160_HIGH.jpg,3,0
1179_LOW.jpg,1391_HIGH.jpg,2,1
496_LOW.jpg,991_HIGH.jpg,1,0
162_LOW.jpg,1088_MEDHIGH.jpg,3,0
966_LOW.jpg,910_MEDHIGH.jpg,2,1
1220_LOW.jpg,14_MEDHIGH.jpg,1,0
